Last Name,Prefix,First Name,Age,Age Group ,,,class,embarked,country,ticketno,fare,sibsp,parch,survived,
Andersson, Master, Sigvard Harald Elias,4,,,,3rd,S,Sweden,347082,31.05,4,2,no,
Andersson, Miss, Ebba Iris Alfrida,6,,,,3rd,S,Sweden,347082,31.05,4,2,no,
Andersson, Miss, Ellis Anna Maria,2,,,,3rd,S,Sweden,347082,31.05,4,2,no,
Andersson, Miss, Erna Alexandra,16,,,,3rd,S,Finland,3101281,7.18,4,2,yes,
Andersson, Miss, Ida Augusta Margareta,38,,,,3rd,S,Sweden,347091,7.15,4,2,no,
Andersson, Miss, Ingeborg Constanzia,9,,,,3rd,S,Sweden,347082,31.05,4,2,no,
Andersson, Miss, Sigrid Elisabeth,11,,,,3rd,S,Sweden,347082,31.05,4,2,no,
Andersson, Mr, Anders Johan,39,,,,3rd,S,Sweden,347082,31.05,1,5,no,
Andersson, Mr, Johan Samuel,26,,,,3rd,S,Sweden,347075,7.15,0,0,no,
Andersson, Mrs, Alfrida Konstantia Brogren,39,,,,3rd,S,Sweden,347082,31.05,1,5,no,
Andreasson, Mr, Pål Edvin,20,,,,3rd,S,Sweden,347466,7.17,0,0,no,
Andrew, Mr, Edgar Samuel,17,,,,2nd,S,Argentina,231945,11.10,0,0,no,
Andrew, Mr, Frank Thomas,27,,,,2nd,S,England,34050,10.10,0,0,no,
Andrews, Miss, Kornelia Theodosia,62,,,,1st,C,United States,13502,77.19,1,0,yes,
Andrews, Mr, Thomas,39,,,,1st,B,Northern Ireland,112050,33.40,0,0,no,
Angheloff, Mr, Minko,26,,,,3rd,S,Bulgaria,349202,7.17,0,0,no,
Angle, Mrs, Florence Agnes,36,,,,2nd,S,England,226875,26.00,1,0,yes,
Angle, Mr, William,31,,,,2nd,S,England,226875,26.00,1,0,no,
Appleton, Mrs, Charlotte,53,,,,1st,S,United States,11769,51.09,2,0,yes,
Arnold-Franchi, Mr, Josef,25,,,,3rd,S,Switzerland,349237,17.16,1,0,no,
Arnold-Franchi, Mrs, Josefine,18,,,,3rd,S,Switzerland,349237,17.16,1,0,no,
Aronsson, Mr, Ernst Axel Algot,25,,,,3rd,S,Sweden,349911,7.15,0,0,no,
Artagaveytia, Mr, Ramon,71,,,,1st,C,Argentina,17609,49.10,0,0,no,
Ashby, Mr, John,57,,,,2nd,S,England,244346,13.00,0,0,no,
Asim, Mr, Adola,35,,,,3rd,S,Argentina,3101310,7.01,0,0,no,
Asplund, Master, Carl Edgar,5,,,,3rd,S,Sweden,347077,31.07,4,2,no,
Asplund, Master, Clarence Gustaf Hugo,9,,,,3rd,S,Sweden,347077,31.07,4,2,no,
Asplund, Master, Edvin Rojj Felix,3,,,,3rd,S,Sweden,347077,31.07,4,2,yes,
Asplund, Master, Filip Oscar,13,,,,3rd,S,Sweden,347077,31.07,4,2,no,
Asplund, Miss, Lillian Gertrud,5,,,,3rd,S,Sweden,347077,31.07,4,2,yes,
Asplund, Mr, Carl Oscar Vilhelm Gustafsson,40,,,,3rd,S,Sweden,347077,31.07,1,5,no,
Asplund, Mr, Johan Charles,23,,,,3rd,S,Sweden,350054,7.15,0,0,yes,
Asplund, Mrs, Selma Augusta Emilia,38,,,,3rd,S,Sweden,347077,31.07,1,5,yes,
Assaf, Mrs, Mariana,45,,,,3rd,C,Lebanon,2696,7.04,0,0,yes,
Assam, Mr, Ali,23,,,,3rd,S,Argentina,3101309,7.01,0,0,no,
Astor, Colonel, John Jacob,47,,,,1st,C,United States,17757,247.10,1,0,no,
Astor, Mrs, Madeleine Talmage,18,,,,1st,C,United States,17757,247.10,1,0,yes,
Attalah, Miss, Malake,17,,,,3rd,C,Lebanon,2627,14.09,0,0,no,
Attala, Mr, Sleiman,27,,,,3rd,C,Canada,2694,7.04,0,0,no,
Aubart, Mme, Léontine Pauline,24,,,,1st,C,France,17477,69.06,0,0,yes,
Augustsson, Mr, Albert,23,,,,3rd,S,Sweden,347468,7.17,0,0,no,
Ayoub Daher, Miss, Banoura,15,,,,3rd,C,Lebanon,2687,7.04,0,0,yes,
Backström, Mr, Karl Alfred,32,,,,3rd,S,Finland,3101278,15.17,1,0,no,
Backström, Mrs, Maria Mathilda,33,,,,3rd,S,Finland,3101278,15.17,3,0,yes,
Baclini, Miss, Eugenie,3,,,,3rd,C,Lebanon,2666,19.05,2,1,yes,
Baclini, Miss, Helene Barbara,175,,,,3rd,C,Lebanon,2666,19.05,2,1,yes,
Baclini, Miss, Marie Catherine,5,,,,3rd,C,Lebanon,2666,19.05,2,1,yes,
Baclini, Mrs, Latifa,23,,,,3rd,C,Lebanon,2666,19.05,0,3,yes,
Badman, Miss, Emily Louisa,18,,,,3rd,S,England,31416,8.01,0,0,yes,
Badt, Mr, Mohamed,40,,,,3rd,C,Lebanon,2623,7.04,0,0,no,
Bailey, Mr, Percy,18,,,,2nd,S,England,29108,11.10,0,0,no,
Bainbrigge, Mr, Charles Robert,22,,,,2nd,S,Channel Islands,31030,10.10,0,0,no,
Balkic, Mr, Cerin,26,,,,3rd,S,Bosnia,349248,7.17,0,0,no,
Balls, Mrs, Ada E,36,,,,2nd,S,England,28551,13.00,0,0,yes,
Banfield, Mr, Frederick James,28,,,,2nd,S,England,34068,10.10,0,0,no,
Banski, Mrs, Mara,31,,,,3rd,S,Hungary,349244,8.13,0,0,yes,
Barbara, Miss, Saiide,18,,,,3rd,C,Lebanon,2691,14.09,0,1,no,
Barbara, Mrs, Catherine David,45,,,,3rd,C,Lebanon,2691,14.09,0,1,no,
Barber, Miss, Ellen Mary,27,,,,1st,S,NA,19877,78.17,0,0,yes,
Barkworth, Mr, Algernon Henry,47,,,,1st,S,England,27042,30.00,0,0,yes,
Barry, Miss, Julia,30,,,,3rd,Q,Ireland,330844,7.17,0,0,no,
Barton, Mr, David John,22,,,,3rd,S,England,324669,8.01,0,0,no,
Bassani, Mrs, Albina,32,,,,1st,C,Italy,11813,76.05,0,0,yes,
Bateman, Revd, Robert James,52,,,,2nd,S,England,1166,12.10,0,0,no,
Batoshev, Mr, Hristo Lalev,23,,,,3rd,S,Bulgaria,349217,7.17,0,0,no,
Baumann, Mr, John D,60,,,,1st,C,United States,17318,25.18,0,0,no,
Baxter, Mr, Quigg Edmond,24,,,,1st,C,Canada,17558,247.10,0,1,no,
Baxter, Mrs, Hélène,50,,,,1st,C,Canada,17558,247.10,0,1,yes,
Beane, Mr, Edward,32,,,,2nd,S,England,2908,26.00,1,0,yes,
Beane, Mrs, Ethel,22,,,,2nd,S,England,2908,26.00,1,0,yes,
Beattie, Mr, Thomson,36,,,,1st,S,Canada,13050,75.04,0,0,no,
Beauchamp, Mr, Henry James,44,,,,2nd,S,England,244358,26.00,0,0,no,
Beavan, Mr, William Thomas,20,,,,3rd,S,England,323951,8.01,0,0,no,
Becker, Master, Richard F,1,,,,2nd,S,India,230136,39.00,2,1,yes,
Becker, Miss, Marion Louise,4,,,,2nd,S,India,230136,39.00,2,1,yes,
Becker, Miss, Ruth Elizabeth,12,,,,2nd,S,India,230136,39.00,2,1,yes,
Becker, Mrs, Nellie E,35,,,,2nd,S,United States,230136,39.00,0,3,yes,
Beckwith, Mr, Richard Leonard,37,,,,1st,S,United States,11751,52.11,1,1,yes,
Beckwith, Mrs, Sallie,46,,,,1st,S,United States,11751,52.11,1,1,yes,
Beesley, Mr, Lawrence,34,,,,2nd,S,England,248698,13.00,0,0,yes,
Behr, Mr, Karl Howell,26,,,,1st,C,United States,111369,30.00,0,0,yes,
Bengtsson, Mr, Johan Viktor,26,,,,3rd,S,Sweden,347068,7.15,0,0,no,
Bentham, Miss, Lillian W,19,,,,2nd,S,United States,28404,13.00,0,0,yes,
Berglund, Mr, Karl Ivar Sven,22,,,,3rd,S,Finland,4348,9.07,0,0,no,
Berriman, Mr, William John,23,,,,2nd,S,England,28425,13.00,0,0,no,
Bessette, Miss, Nellie Mayo,39,,,,1st,C,United States,17760,63.07,0,0,yes,
Bidois, Miss, Rosalie,46,,,,1st,C,NA,17757,247.10,0,0,yes,
Bing, Mr, Lee,32,,,,3rd,S,NA,1601,56.09,0,0,yes,
Bird, Miss, Ellen,31,,,,1st,S,England,17483,221.15,0,0,yes,
Birkeland, Mr, Hans Martin Monsen,21,,,,3rd,S,Norway,312992,7.15,0,0,no,
Birnbaum, Mr, Jakob,24,,,,1st,C,NA,13905,26.00,0,0,no,
Bishop, Mr, Dickinson H,25,,,,1st,C,United States,11967,91.01,1,0,yes,
Bishop, Mrs, Helen,19,,,,1st,C,United States,11967,91.01,1,0,yes,
Björklund, Mr, Ernst Herbert,18,,,,3rd,S,Sweden,347090,7.15,0,0,no,
Björnström-Steffansson, Mr, Mauritz Hokan,28,,,,1st,S,Sweden,110564,26.11,0,0,yes,
Blackwell, Mr, Stephen Weart,45,,,,1st,S,United States,113784,35.10,0,0,no,
Blank, Mr, Henry,39,,,,1st,C,United States,112277,31.00,0,0,yes,
Bonnell, Miss, Caroline,30,,,,1st,S,United States,36928,164.17,0,0,yes,
Bonnell, Miss, Elizabeth,61,,,,1st,S,England,113783,26.11,0,0,yes,
Borebank, Mr, John James,41,,,,1st,S,England,110489,26.11,0,0,no,
Bostandyeff, Mr, Guentcho,26,,,,3rd,S,NA,349224,7.17,0,0,no,
Botsford, Mr, William Hull,25,,,,2nd,S,United States,237670,13.00,0,0,no,
Bourke, Miss, Mary,40,,,,3rd,Q,Ireland,364848,7.15,0,2,no,
Bourke, Mr, John,42,,,,3rd,Q,Ireland,364849,15.10,1,1,no,
Bourke, Mrs, Catherine,32,,,,3rd,Q,Ireland,364849,15.10,1,1,no,
Bowen, Miss, Grace Scott,45,,,,1st,C,United States,17608,262.07,0,0,yes,
Bowen, Mr, David John 'Dai',26,,,,3rd,S,Wales,54636,16.02,0,0,no,
Bowenur, Mr, Solomon,42,,,,2nd,S,NA,211535,13.00,0,0,no,
Bowerman, Miss, Elsie Edith,22,,,,1st,S,England,113505,55.00,0,1,yes,
Bracken, Mr, James Hollen,30,,,,2nd,S,United States,220367,13.00,0,0,no,
Bradley, Miss, Bridget Delia,22,,,,3rd,Q,Ireland,334914,7.14,0,0,yes,
Brady, Mr, John Bertram,41,,,,1st,S,United States,113054,30.10,0,0,no,
Braf, Miss, Elin Ester Maria,20,,,,3rd,S,Sweden,347471,7.17,0,0,no,
Brailey, Mr, William Theodore Ronald,24,,,,2nd,S,England,250654,33.40,0,0,no,
Brandeis, Mr, Emil Franklin,48,,,,1st,C,United States,17591,50.09,0,0,no,
Braund, Mr, Lewis Richard,29,,,,3rd,S,England,3460,7.00,1,0,no,
Braund, Mr, Owen Harris,23,,,,3rd,S,England,21171,7.05,1,0,no,
Brereton, Mr, George Andrew,37,,,,1st,S,United States,111427,26.11,0,0,yes,
Brewe, Dr, Arthur Jackson,46,,,,1st,C,United States,112379,39.12,0,0,no,
Bricoux, Mr, Roger Marie,20,,,,2nd,S,France,250654,33.40,0,0,no,
Brito, Mr, José Joaquim de,32,,,,2nd,S,NA,244360,13.00,0,0,no,
Brobäck, Mr, Karl Rudolf,22,,,,3rd,S,Sweden,350045,7.15,0,0,no,
Brocklebank, Mr, William Alfred,40,,,,3rd,S,England,364512,8.01,0,0,no,
Brown, Miss, Amelia Mary,18,,,,2nd,S,England,248733,13.00,0,0,yes,
Brown, Miss, Edith Eileen,15,,,,2nd,S,South Africa,29750,39.00,0,2,yes,
Brown, Mrs, Caroline Lane,59,,,,1st,S,United States,11769,51.09,2,0,yes,
Brown, Mrs, Elizabeth Catherine,40,,,,2nd,S,South Africa,29750,39.00,1,1,yes,
Brown, Mrs, Margaret,44,,,,1st,C,United States,17610,27.14,0,0,yes,
Brown, Mr, Thomas William Solomon,60,,,,2nd,S,South Africa,29750,39.00,1,1,no,
Bryhl, Miss, Dagmar Jenny Ingeborg,20,,,,2nd,S,Sweden,236853,26.00,1,0,yes,
Bryhl, Mr, Kurt Arnold Gottfrid,25,,,,2nd,S,Sweden,236853,26.00,1,0,no,
Buckley, Miss, Katherine,22,,,,3rd,Q,Ireland,329944,7.05,0,0,no,
Buckley, Mr, Daniel,21,,,,3rd,Q,Ireland,330920,7.15,0,0,yes,
Bucknell, Mrs, Emma Eliza,58,,,,1st,C,India,11813,76.05,0,0,yes,
Būlus, Master, Akar,7,,,,3rd,C,Lebanon,2678,15.04,1,1,no,
Būlus, Miss, Nūr al-'ayn,10,,,,3rd,C,Lebanon,2678,15.04,1,1,no,
Būlus, Mrs, Sultānah,40,,,,3rd,C,Lebanon,2678,15.04,0,2,no,
Burke, Mr, Jeremiah,19,,,,3rd,Q,Ireland,365222,6.15,0,0,no,
Burns, Miss, Elizabeth Margaret,41,,,,1st,C,NA,16966,134.10,0,0,yes,
Burns, Miss, Mary Delia,17,,,,3rd,Q,Ireland,330963,7.17,0,0,no,
Buss, Miss, Kate,36,,,,2nd,S,England,27849,13.00,0,0,yes,
Butler, Mr, Reginald Fenton,26,,,,2nd,S,England,234686,13.00,0,0,no,
Butrus-Ka'wī, Mr, Tannūs,21,,,,3rd,C,Lebanon,2648,7.04,0,0,no,
Butt, Major, Archibald Willingham,46,,,,1st,S,United States,113050,26.11,0,0,no,
Byles, Fr, Thomas Roussel Davids,42,,,,2nd,S,England,244310,13.00,0,0,no,
Byström, Mrs, Karolina,40,,,,2nd,S,United States,236852,13.00,0,0,yes,
Cacic, Miss, Manda,21,,,,3rd,S,Croatia (Modern),315087,8.13,0,0,no,
Cacic, Miss, Marija,30,,,,3rd,S,Croatia (Modern),315084,8.13,0,0,no,
Cacic, Mr, Jego Grga,18,,,,3rd,S,Croatia (Modern),315091,8.13,0,0,no,
Cacic, Mr, Luka,38,,,,3rd,S,Croatia (Modern),315089,8.13,0,0,no,
Cairns, Mr, Alexander Milne,28,,,,1st,S,Scotland,113798,31.00,0,0,no,
Calderhead, Mr, Edward Pennington,42,,,,1st,S,United States,17476,26.05,0,0,yes,
Caldwell, Master, Alden Gates,18,,,,2nd,S,Siam,248738,29.00,0,2,yes,
Caldwell, Mr, Albert Francis,26,,,,2nd,S,Siam,248738,29.00,1,1,yes,
Caldwell, Mrs, Sylvia Mae,28,,,,2nd,S,United States,248738,29.00,1,1,yes,
Calic, Mr, Jovo,17,,,,3rd,S,Croatia (Modern),315093,8.13,0,0,no,
Calic, Mr, Petar,17,,,,3rd,S,Croatia (Modern),315086,8.13,0,0,no,
Cameron, Miss, Clear Annie,35,,,,2nd,S,England,13528,21.00,0,0,yes,
Campbell, Mr, William Henry,21,,,,2nd,B,Northern Ireland,239853,33.40,0,0,no,
Canavan, Miss, Mary,22,,,,3rd,Q,Ireland,364846,7.15,0,0,no,
Canavan, Mr, Patrick,21,,,,3rd,Q,Ireland,364858,7.15,0,0,no,
Candee, Mrs, Helen Churchill,52,,,,1st,C,United States,17606,27.08,0,0,yes,
Cann, Mr, Ernest,29,,,,3rd,S,England,2152,8.01,0,0,no,
Caram, Mr, Joseph,28,,,,3rd,C,Canada,2689,14.09,1,0,no,
Caram, Mrs, Maria Elias,18,,,,3rd,C,Lebanon,2689,14.09,1,0,no,
Carbines, Mr, William,19,,,,2nd,S,England,28424,13.00,0,0,no,
Cardeza, Mrs, Charlotte Wardle,58,,,,1st,C,United States,17755,512.06,0,1,yes,
Cardeza, Mr, Thomas Drake Martinez,36,,,,1st,C,United States,17755,512.06,0,1,yes,
Carlsson, Mr, August Sigfrid,28,,,,3rd,S,Sweden,350042,7.15,0,0,no,
Carlsson, Mr, Carl Robert,24,,,,3rd,S,Sweden,350409,7.17,0,0,no,
Carlsson, Mr, Frans Olof,33,,,,1st,S,United States,695,5.00,0,0,no,
Carraú-Esteves, Mr, José Pedro,17,,,,1st,S,Uruguay,113059,47.02,0,0,no,
Carrau, Mr, Francisco Mauro Severiano,27,,,,1st,S,Uruguay,113059,47.02,0,0,no,
Carr, Miss, Jane,45,,,,3rd,Q,Ireland,368364,7.15,0,0,no,
Carter, Fr, Ernest Courtenay,54,,,,2nd,S,England,244252,26.00,1,0,no,
Carter, Master, William Thornton II,11,,,,1st,S,United States,113760,120.00,1,2,yes,
Carter, Miss, Lucile Polk,13,,,,1st,S,United States,113760,120.00,1,2,yes,
Carter, Mrs, Lilian,45,,,,2nd,S,England,244252,26.00,1,0,no,
Carter, Mrs, Lucile,36,,,,1st,S,United States,113760,120.00,1,2,yes,
Carter, Mr, William Ernest,36,,,,1st,S,United States,113760,120.00,1,2,yes,
Carver, Mr, Alfred John,28,,,,3rd,S,England,370160,7.05,0,0,no,
Case, Mr, Howard Brown,49,,,,1st,S,United States,19924,26.00,0,0,no,
Cassebeer, Mrs, Eleanor Genevieve,36,,,,1st,C,United States,17770,27.14,0,0,yes,
Cavendish, Mrs, Julia Florence,25,,,,1st,S,United States,19877,78.17,1,0,yes,
Cavendish, Mr, Tyrell William,36,,,,1st,S,England,19877,78.17,1,0,no,
Celotti, Mr, Francesco,24,,,,3rd,S,NA,343275,8.01,0,0,no,
Chaffee, Mr, Herbert Fuller,46,,,,1st,S,United States,5734,61.03,1,0,no,
Chaffee, Mrs, Carrie Constance,47,,,,1st,S,United States,5734,61.03,1,0,yes,
Chambers, Mr, Norman Campbell,27,,,,1st,S,United States,113806,53.02,1,0,yes,
Chambers, Mrs, Bertha,32,,,,1st,S,United States,113806,53.02,1,0,yes,
Chapman, Mr, Charles Henry,52,,,,2nd,S,United States,248731,13.10,0,0,no,
Chapman, Mr, John Henry,37,,,,2nd,S,England,29037,26.00,1,0,no,
Chapman, Mrs, Sara Elizabeth,29,,,,2nd,S,England,29037,26.00,1,0,no,
Charters, Mr, David,20,,,,3rd,Q,Ireland,13032,7.14,0,0,no,
Chaudanson, Miss, Victorine,36,,,,1st,C,NA,17608,262.07,0,0,yes,
Cherry, Miss, Gladys,30,,,,1st,S,England,110152,86.10,0,0,yes,
Chevré, Mr, Paul Romaine Marie Léonce,45,,,,1st,C,Belgium,17594,29.14,0,0,yes,
Chibnall, Mrs, Edith Martha Bowerman,48,,,,1st,S,England,113505,55.00,0,1,yes,
Chip, Mr, Chang,32,,,,3rd,S,NA,1601,56.09,0,0,yes,
Chisholm, Mr, Roderick Robert Crispin,43,,,,1st,B,Scotland,112051,33.40,0,0,no,
Christmann, Mr, Emil,29,,,,3rd,S,England,343276,8.01,0,0,no,
Christy, Miss, Rachel Juli Cohen,25,,,,2nd,S,England,237789,30.00,1,1,yes,
Christy, Mrs, Alice Frances,52,,,,2nd,S,England,237789,30.00,0,2,yes,
Chronopoulos, Mr, Apostolos M,26,,,,3rd,C,NA,2680,14.09,1,0,no,
Chronopoulos, Mr, Dimitrios M,21,,,,3rd,C,NA,2680,14.09,1,0,no,
Clarke, Mr, Charles Valentine,29,,,,2nd,S,England,2003,26.00,1,0,no,
Clarke, Mr, John Frederick Preston,28,,,,2nd,S,England,250654,33.40,0,0,no,
Clarke, Mrs, Ada Maria,28,,,,2nd,S,England,2003,27.00,1,0,yes,
Clark, Mrs, Virginia Estelle,26,,,,1st,C,United States,13508,136.15,1,0,yes,
Clark, Mr, Walter Miller,27,,,,1st,C,United States,13508,136.15,1,0,no,
Cleaver, Miss, Alice Catherine,22,,,,1st,S,England,113781,151.16,0,0,yes,
Clifford, Mr, George Quincy,40,,,,1st,S,United States,110465,52.00,0,0,no,
Coelho, Mr, Domingos Fernandeo,20,,,,3rd,S,NA,3101307,7.01,0,0,no,
Cohen, Mr, Gurshon,18,,,,3rd,S,England,3540,8.01,0,0,yes,
Colbert, Mr, Patrick,24,,,,3rd,Q,Ireland,371109,7.05,0,0,no,
Coleff, Mr, Satio,24,,,,3rd,S,Bulgaria,349209,7.17,0,0,no,
Coleridge, Mr, Reginald Charles,29,,,,2nd,S,England,14263,10.10,0,0,no,
Collander, Mr, Erik Gustaf,27,,,,2nd,S,Finland,248740,13.00,0,0,no,
Collett, Mr, Sidney Clarence Stuart,25,,,,2nd,S,England,28034,10.10,0,0,yes,
Colley, Mr, Edward Pomeroy,37,,,,1st,S,Ireland,5727,25.11,0,0,no,
Collyer, Miss, Marjorie Lottie,8,,,,2nd,S,England,31921,26.05,0,2,yes,
Collyer, Mr, Harvey,31,,,,2nd,S,England,31921,26.05,1,1,no,
Collyer, Mrs, Charlotte Caroline,30,,,,2nd,S,England,31921,26.05,1,1,yes,
Coltcheff, Mr, Peju,36,,,,3rd,S,Bulgaria,349210,7.17,0,0,no,
Compton, Miss, Sara Rebecca,39,,,,1st,C,United States,17756,83.03,1,1,yes,
Compton, Mr, Alexander Taylor jr,37,,,,1st,C,United States,17756,83.03,1,1,no,
Compton, Mrs, Mary Eliza,64,,,,1st,C,United States,17756,83.03,0,2,yes,
Conlin, Mr, Thomas Henry,31,,,,3rd,Q,United States,21332,7.14,0,0,no,
Connaughton, Mr, Michael,40,,,,3rd,Q,Ireland,335097,7.15,0,0,no,
Connolly, Miss, Catherine,23,,,,3rd,Q,Ireland,370373,7.15,0,0,yes,
Connolly, Miss, Kate,41,,,,3rd,Q,Ireland,330972,7.12,0,0,no,
Connors, Mr, Patrick,66,,,,3rd,Q,Ireland,370369,7.15,0,0,no,
Cook, Mr, Jacob,43,,,,3rd,S,NA,3536,8.01,0,0,no,
Cook, Mrs, Selena,22,,,,2nd,S,England,14266,10.10,0,0,yes,
Corbett, Mrs, Irene,30,,,,2nd,S,United States,237249,13.00,0,0,no,
Corey, Mrs, Mary Emma,32,,,,2nd,S,NA,13534,21.00,0,0,no,
Cor, Mr, Bartol,35,,,,3rd,S,Croatia (Modern),349230,7.17,0,0,no,
Cor, Mr, Ivan,27,,,,3rd,S,Hungary,349229,7.17,0,0,no,
Cor, Mr, Liudevit,19,,,,3rd,S,Hungary,349231,7.17,0,0,no,
Cornblatt, Mr, Harris,30,,,,3rd,S,Poland,392090,8.01,0,0,no,
Cornell, Mrs, Malvina Helen,55,,,,1st,S,United States,11770,25.14,2,0,yes,
Corr, Miss, Ellen,16,,,,3rd,Q,Ireland,367231,7.15,0,0,yes,
Cotterill, Mr, Henry,21,,,,2nd,S,England,29107,11.10,0,0,no,
Coutts, Master, Neville Leslie,3,,,,3rd,S,England,37671,15.18,1,1,yes,
Coutts, Master, William Loch,9,,,,3rd,S,England,37671,15.18,1,1,yes,
Coutts, Mrs, Winnie,36,,,,3rd,S,England,37671,15.18,0,2,yes,
Coxon, Mr, Daniel,58,,,,3rd,S,England,364500,7.05,0,0,no,
Crafton, Mr, John Bertram,59,,,,1st,S,United States,113791,26.11,0,0,no,
Crease, Mr, Ernest James,20,,,,3rd,S,United States,3464,8.03,0,0,no,
Cribb, Miss, Laura Mae,16,,,,3rd,S,United States,371362,16.02,0,1,yes,
Cribb, Mr, John Hatfield,43,,,,3rd,S,Australia,371362,16.02,0,1,no,
Crosby, Captain, Edward Gifford,70,,,,1st,S,United States,5735,71.00,1,1,no,
Crosby, Miss, Harriette Rebecca,39,,,,1st,S,United States,112901,26.11,0,2,yes,
Crosby, Mrs, Catherine Elizabeth,64,,,,1st,S,United States,5735,71.00,1,1,yes,
Culumovic, Mr, Jeso,17,,,,3rd,S,Croatia (Modern),315090,8.13,0,0,no,
Cumings, Mr, John Bradley,39,,,,1st,C,United States,17599,71.05,1,0,no,
Cumings, Mrs, Florence Briggs,35,,,,1st,C,Peru,17599,71.05,1,0,yes,
Cunningham, Mr, Alfred Fleming,22,,,,2nd,B,Northern Ireland,239853,33.40,0,0,no,
Daher, Mr, Tannous,28,,,,3rd,C,NA,2686,7.04,0,0,no,
Dahlberg, Miss, Gerda Ulrika,22,,,,3rd,S,Sweden,7552,10.10,0,0,no,
Dahl, Mr, Charles Edward,45,,,,3rd,S,NA,7598,8.01,0,0,yes,
Dakic, Mr, Branko,19,,,,3rd,S,NA,349228,10.03,0,0,no,
Daly, Miss, Margaret Marcella,33,,,,3rd,Q,Ireland,382650,6.19,0,0,yes,
Daly, Mr, Eugene Patrick,29,,,,3rd,Q,Ireland,382651,7.15,0,0,yes,
Daly, Mr, Peter Dennis,51,,,,1st,S,England,113055,26.11,0,0,yes,
Danbom, Master, Gilbert Sigvard Emanuel,13,,,,3rd,S,Sweden,347080,14.08,0,2,no,
Danbom, Mr, Ernst Gilbert,34,,,,3rd,S,Sweden,347080,14.08,1,1,no,
Danbom, Mrs, Anna Sigrid Maria,28,,,,3rd,S,Sweden,347080,14.08,1,1,no,
Daniel, Mr, Robert Williams,27,,,,1st,S,United States,113804,30.10,0,0,yes,
Daniels, Miss, Sarah Rebecca,36,,,,1st,S,England,113781,151.16,0,0,yes,
Danoff, Mr, Yoto,27,,,,3rd,S,NA,349219,7.17,0,0,no,
Davidson, Mrs, Orian,27,,,,1st,C,Canada,12750,52.00,1,2,yes,
Davidson, Mr, Thornton,31,,,,1st,C,Canada,12750,52.00,1,0,no,
Davies, Master, John Morgan jr,8,,,,2nd,S,England,33112,36.15,1,1,yes,
